R,G,B
0.8324893162,0.8400641026,0.8788995726
0.8482692308,0.8561431624,0.8952884615
0.8666666667,0.8746047009,0.9127029915
0.8862820513,0.8943162393,0.9290811966
0.9066025641,0.9156517094,0.9443376068
0.9248824786,0.9340598291,0.9604807692
0.9401816239,0.9498504274,0.9747542735
0.9551495726,0.9659294872,0.9857905983
0.9699786325,0.9802884615,0.9933440171
0.9822222222,0.9906944444,0.9974358974
0.9903418803,0.9964316239,0.9991559829
0.9947222222,0.9987820513,0.9998183761
0.9963995726,0.9995512821,0.9999893162
0.9972970085,0.9999145299,0.9999893162
0.9977884615,1,1
0.9981944444,1,1
0.9984508547,1,1
0.9987713675,1,1
0.9989316239,1,1
0.9991132479,1,1
0.9994123932,1,1
0.9995940171,1,1
0.9997542735,1,1
0.9998824786,1,1
0.9999893162,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
